
# TAS for 2100 rpm at wide open throttle and ROP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
162.70  5000
162.50  5500
162.32  6000
162.13  6500
161.93  7000
161.75  7500
161.32  8000
161.04  8500
160.77  9000
160.49  9500
160.22 10000
159.96 10500
159.68 11000
159.41 11500
159.13 12000
158.86 12500
158.46 13000
158.15 13500
157.82 14000
157.49 14500
157.15 15000
156.77 15500
156.42 16000
156.05 16500
155.67 17000
155.29 17500
154.91 18000
154.29 18500
153.81 19000
153.33 19500
152.83 20000
152.31 20500
151.79 21000
151.25 21500
150.45 22000
149.82 22500
#150.30 23000
148.48 23500
147.78 24000
147.04 24500
146.29 25000
#=============================



# TAS for 2700 rpm at wide open throttle and LOP mixture
# Wheel Pants OFF
# TAS     alt
#(kt)    (ft)
167.02  2500
166.92  3000
166.73  3500
166.57  4000
166.40  4500
166.22  5000
166.04  5500
165.85  6000
165.68  6500
165.49  7000
165.31  7500
164.81  8000
164.51  8500
164.22  9000
163.93  9500
163.63 10000
163.41 10500
163.14 11000
162.87 11500
162.58 12000
162.30 12500
161.92 13000
161.60 13500
161.27 14000
160.95 14500
160.62 15000
160.25 15500
159.90 16000
159.53 16500
159.17 17000
158.80 17500
158.42 18000
157.81 18500
157.33 19000
156.85 19500
156.35 20000
155.85 20500
155.33 21000
154.80 21500
154.03 22000
153.40 22500
152.75 23000
#150.68 23500
#151.40 24000
150.68 24500
149.94 25000
#=============================


