# EFIS airspeed error = Instrument error + Static source position error.  For 1400.0 lb.
# Data generated by SSEC_anal.py

# IAS Error
51.25 1.14689597878
52.234375 1.16833481282
53.21875 1.18822277291
54.203125 1.20660959045
55.1875 1.22354063104
56.171875 1.23905733676
57.15625 1.25319761782
58.140625 1.26599620076
59.125 1.27748493853
60.109375 1.28769308743
61.09375 1.29664755509
62.078125 1.30437312293
63.0625 1.31089264628
64.046875 1.31622723468
65.03125 1.32039641489
66.015625 1.32341827828
67.0 1.32530961462
67.984375 1.32608603361
68.96875 1.32576207557
69.953125 1.32435131243
70.9375 1.32186643997
71.921875 1.31831936238
72.90625 1.31372126971
73.890625 1.30808270912
74.875 1.30141365048
75.859375 1.29372354675
76.84375 1.28502138991
77.828125 1.27531576255
78.8125 1.2646148858
79.796875 1.25292666376
80.78125 1.24025872483
81.765625 1.22661846021
82.75 1.21201305981
83.734375 1.1964495458
84.71875 1.179934804
85.703125 1.16247561333
86.6875 1.14407867343
87.671875 1.12475063066
88.65625 1.10449810258
89.640625 1.08332770101
90.625 1.06124605388
91.609375 1.03825982585
92.59375 1.01437573787
93.578125 0.989600585775
94.5625 0.963941257924
95.546875 0.937404752003
96.53125 0.909998191075
97.515625 0.881728838872
98.5 0.852604114445
99.484375 0.822631606172
100.46875 0.791819085229
101.453125 0.760174518509
102.4375 0.727706081033
103.421875 0.694422167933
104.40625 0.660331406014
105.390625 0.625442664882
106.375 0.589765067749
107.359375 0.553308001878
108.34375 0.516081128696
109.328125 0.478094393642
110.3125 0.439358035706
111.296875 0.399882596742
112.28125 0.359678930509
113.265625 0.318758211506
114.25 0.277131943597
115.234375 0.234811968413
116.21875 0.191810473613
117.203125 0.14814000093
118.1875 0.103813454076
119.171875 0.0588441064869
120.15625 0.013245608934
121.140625 -0.0329680030258
122.125 -0.079782301697
123.109375 -0.127182460023
124.09375 -0.175153244504
125.078125 -0.22367900817
126.0625 -0.272743683716
127.046875 -0.322330776677
128.03125 -0.372423358751
129.015625 -0.423004061157
130.0 -0.474055068123
131.013333333 -0.49659977709
132.026666667 -0.519577792337
133.04 -0.542969918685
134.053333333 -0.566756488602
135.066666667 -0.590917356039
136.08 -0.615431890339
137.093333333 -0.640278970214
138.106666667 -0.668495891213
139.12 -0.697418866724
140.133333333 -0.72607622723
141.146666667 -0.754473122213
142.16 -0.782614560821
143.173333333 -0.810505416512
144.186666667 -0.838150431538
145.2 -0.865554221221
146.165 -0.941054611427
147.13 -1.01632264253
148.095 -1.09136257323
149.06 -1.1661785509
150.025 -1.24077461511
150.99 -1.31515470104
151.955 -1.38932264275
152.92 -1.46328217634
153.885 -1.53703694298
154.85 -1.61059049183
155.815 -1.68394628291
156.78 -1.75710768975
157.745 -1.83007800204
158.71 -1.90286042818
159.675 -1.97545809768
160.64 -2.04787406353
161.605 -2.12011130447
162.57 -2.19217272716
163.535 -2.26406116832
164.5 -2.33577939674
165.48 -2.39233011529
166.46 -2.44871596275
167.44 -2.50493951574
168.42 -2.56100329041
169.4 -2.61690974422
170.38 -2.67266127754
171.36 -2.7282602353
172.34 -2.78370890852
173.32 -2.8390095358
174.3 -2.89416430478
175.28 -2.94917535353
176.26 -3.00404477192
177.24 -3.05877460293
178.22 -3.11336684391
179.2 -3.16782344781
180.16 -3.24214632437
181.12 -3.3163373413
182.08 -3.39039832536
183.04 -3.46433106345
184.0 -3.53813730366
184.96 -3.61181875629
185.92 -3.68537709485
186.88 -3.75881395695
187.84 -3.83213094532
188.8 -3.90532962862
189.76 -3.97841154235
190.72 -4.05137818968
191.68 -4.1242310423
192.64 -4.19697154115
193.6 -4.26960109726
194.56 -4.34212109244
195.52 -4.41453288003
196.48 -4.48683778562
197.44 -4.5590371077
198.4 -4.63113211833
199.365 -4.69812406382
200.33 -4.76501416529
201.295 -4.83180361935
202.26 -4.89849359865
203.225 -4.96508525243
204.19 -5.03157970716
205.155 -5.09797806698
206.12 -5.1642814143
207.085 -5.23049081028
208.05 -5.29660729536
209.015 -5.36263188968
209.98 -5.42856559362
210.945 -5.49440938823
211.91 -5.56016423566
212.875 -5.62583107962
213.84 -5.69141084577
214.805 -5.75690444218
215.77 -5.82231275968
216.735 -5.88763667228
217.7 -5.95287703753
218.665 -6.01803469689
219.63 -6.08311047611
220.595 -6.14810518556
221.56 -6.21301962056
222.525 -6.27785456174
223.49 -6.34261077536
224.455 -6.40728901358
225.42 -6.47189001482
226.385 -6.53641450406
227.35 -6.60086319307
228.315 -6.66523678075
229.28 -6.7295359534
230.245 -6.79376138498
231.21 -6.85791373736
